date_timestamp,symbol,open,low,high,close,volume,expiry,expiry_type
2023-04-28 09:15:00,BANKNIFTY,4305995,4304000,4313995,4312890,62525,2023-05-25 14:30:00,I
2023-04-28 09:16:00,BANKNIFTY,4313000,4310355,4313270,4310500,23100,2023-05-25 14:30:00,I
2023-04-28 09:17:00,BANKNIFTY,4310855,4310360,4312300,4310650,16600,2023-05-25 14:30:00,I
2023-04-28 09:18:00,BANKNIFTY,4310580,4309845,4311095,4309865,18875,2023-05-25 14:30:00,I
2023-04-28 09:19:00,BANKNIFTY,4310000,4304300,4310200,4304970,26400,2023-05-25 14:30:00,I
2023-04-28 09:20:00,BANKNIFTY,4304970,4300300,4304970,4301450,31675,2023-05-25 14:30:00,I
2023-04-28 09:21:00,BANKNIFTY,4301165,4300690,4303800,4302755,13525,2023-05-25 14:30:00,I
2023-04-28 09:22:00,BANKNIFTY,4303070,4300560,4303070,4303030,17650,2023-05-25 14:30:00,I
2023-04-28 09:23:00,BANKNIFTY,4302655,4302100,4304000,4303520,10775,2023-05-25 14:30:00,I
2023-04-28 09:24:00,BANKNIFTY,4304340,4298815,4305000,4299485,26625,2023-05-25 14:30:00,I
2023-04-28 09:25:00,BANKNIFTY,4299145,4297645,4300885,4299470,18775,2023-05-25 14:30:00,I
2023-04-28 09:26:00,BANKNIFTY,4299800,4298135,4300500,4299115,12125,2023-05-25 14:30:00,I
2023-04-28 09:27:00,BANKNIFTY,4299015,4298210,4300800,4299340,11300,2023-05-25 14:30:00,I
2023-04-28 09:28:00,BANKNIFTY,4299340,4297500,4300000,4297700,11450,2023-05-25 14:30:00,I
2023-04-28 09:29:00,BANKNIFTY,4297500,4295540,4298395,4296200,21275,2023-05-25 14:30:00,I
2023-04-28 09:30:00,BANKNIFTY,4296810,4296130,4298490,4298490,19725,2023-05-25 14:30:00,I
2023-04-28 09:31:00,BANKNIFTY,4298000,4297980,4299875,4299830,18125,2023-05-25 14:30:00,I
2023-04-28 09:32:00,BANKNIFTY,4299705,4298100,4299900,4298355,7475,2023-05-25 14:30:00,I
2023-04-28 09:33:00,BANKNIFTY,4298685,4296000,4299145,4298035,14975,2023-05-25 14:30:00,I
2023-04-28 09:34:00,BANKNIFTY,4298605,4297500,4299900,4298620,7075,2023-05-25 14:30:00,I
2023-04-28 09:35:00,BANKNIFTY,4298605,4295900,4298915,4296200,10450,2023-05-25 14:30:00,I
2023-04-28 09:36:00,BANKNIFTY,4296515,4295925,4298690,4297600,9175,2023-05-25 14:30:00,I
2023-04-28 09:37:00,BANKNIFTY,4297510,4294200,4297510,4295920,18700,2023-05-25 14:30:00,I
2023-04-28 09:38:00,BANKNIFTY,4295900,4295440,4296915,4295845,8175,2023-05-25 14:30:00,I
2023-04-28 09:39:00,BANKNIFTY,4295030,4294635,4295995,4295915,7975,2023-05-25 14:30:00,I
2023-04-28 09:40:00,BANKNIFTY,4295915,4295205,4296750,4295985,9600,2023-05-25 14:30:00,I
2023-04-28 09:41:00,BANKNIFTY,4296015,4296000,4297550,4296305,9050,2023-05-25 14:30:00,I
2023-04-28 09:42:00,BANKNIFTY,4296400,4295060,4296940,4295320,7400,2023-05-25 14:30:00,I
2023-04-28 09:43:00,BANKNIFTY,4295800,4295105,4298155,4296910,5825,2023-05-25 14:30:00,I
2023-04-28 09:44:00,BANKNIFTY,4297385,4295290,4297385,4296000,4950,2023-05-25 14:30:00,I
2023-04-28 09:45:00,BANKNIFTY,4295830,4295000,4296800,4296340,7075,2023-05-25 14:30:00,I
2023-04-28 09:46:00,BANKNIFTY,4296715,4296450,4297600,4297250,6650,2023-05-25 14:30:00,I
2023-04-28 09:47:00,BANKNIFTY,4297500,4295860,4297500,4296635,5700,2023-05-25 14:30:00,I
2023-04-28 09:48:00,BANKNIFTY,4296500,4295700,4297740,4296750,2525,2023-05-25 14:30:00,I
2023-04-28 09:49:00,BANKNIFTY,4296695,4295495,4296925,4295990,7475,2023-05-25 14:30:00,I
2023-04-28 09:50:00,BANKNIFTY,4296010,4295790,4297500,4296900,4825,2023-05-25 14:30:00,I
2023-04-28 09:51:00,BANKNIFTY,4297200,4295570,4297200,4296640,3425,2023-05-25 14:30:00,I
2023-04-28 09:52:00,BANKNIFTY,4296640,4296055,4299900,4299675,7500,2023-05-25 14:30:00,I
2023-04-28 09:53:00,BANKNIFTY,4298775,4297190,4299925,4298480,6175,2023-05-25 14:30:00,I
2023-04-28 09:54:00,BANKNIFTY,4297795,4297500,4299800,4299740,6800,2023-05-25 14:30:00,I
2023-04-28 09:55:00,BANKNIFTY,4299740,4299000,4300200,4299400,7350,2023-05-25 14:30:00,I
2023-04-28 09:56:00,BANKNIFTY,4299950,4298000,4300930,4298760,14000,2023-05-25 14:30:00,I
2023-04-28 09:57:00,BANKNIFTY,4298760,4298060,4300295,4300000,5200,2023-05-25 14:30:00,I
2023-04-28 09:58:00,BANKNIFTY,4300000,4299000,4300210,4299015,3225,2023-05-25 14:30:00,I
2023-04-28 09:59:00,BANKNIFTY,4299875,4299210,4301260,4300495,3450,2023-05-25 14:30:00,I
2023-04-28 10:00:00,BANKNIFTY,4300500,4300300,4302690,4301020,11950,2023-05-25 14:30:00,I
2023-04-28 10:01:00,BANKNIFTY,4301015,4300500,4302345,4301505,5125,2023-05-25 14:30:00,I
2023-04-28 10:02:00,BANKNIFTY,4301905,4301005,4302500,4301500,3875,2023-05-25 14:30:00,I
2023-04-28 10:03:00,BANKNIFTY,4301500,4300400,4301785,4300400,11750,2023-05-25 14:30:00,I
2023-04-28 10:04:00,BANKNIFTY,4300400,4298600,4300400,4299640,4750,2023-05-25 14:30:00,I
2023-04-28 10:05:00,BANKNIFTY,4299140,4299140,4299830,4299140,3600,2023-05-25 14:30:00,I
